id,u_x,u_y,p_s,nu_t,C_L,C_D
sample_000,value_0,value_0,value_0,value_0,value_0,0.8290220292976129
sample_001,value_1,value_1,value_1,value_1,value_1,0.38561650656554136
sample_002,value_2,value_2,value_2,value_2,value_2,0.8399951442502798
sample_003,value_3,value_3,value_3,value_3,value_3,0.49332346142904293
sample_004,value_4,value_4,value_4,value_4,value_4,0.7995840268120159
sample_005,value_5,value_5,value_5,value_5,value_5,0.9090716872089243
sample_006,value_6,value_6,value_6,value_6,value_6,0.8413935007582979
sample_007,value_7,value_7,value_7,value_7,value_7,0.2767356810052781
sample_008,value_8,value_8,value_8,value_8,value_8,0.701081447675769
sample_009,value_9,value_9,value_9,value_9,value_9,0.7499535294025627
sample_010,value_10,value_10,value_10,value_10,value_10,0.7313224163511975
sample_011,value_11,value_11,value_11,value_11,value_11,0.06822652739202317
sample_012,value_12,value_12,value_12,value_12,value_12,0.3731196634820936
sample_013,value_13,value_13,value_13,value_13,value_13,0.3759414726565169
sample_014,value_14,value_14,value_14,value_14,value_14,0.9619329573809366
sample_015,value_15,value_15,value_15,value_15,value_15,0.38401320629416436
sample_016,value_16,value_16,value_16,value_16,value_16,0.17621133755258678
sample_017,value_17,value_17,value_17,value_17,value_17,0.4987738786102047
sample_018,value_18,value_18,value_18,value_18,value_18,0.8101528184398545
sample_019,value_19,value_19,value_19,value_19,value_19,0.8490921668550014
