id,extracted_information,attack_success_rate,defense_effectiveness,model_utility
sample_000,value_0,value_0,value_0,0.7310917716742045
sample_001,value_1,value_1,value_1,0.6614413970103677
sample_002,value_2,value_2,value_2,0.8441110794408146
sample_003,value_3,value_3,value_3,0.4330932315464694
sample_004,value_4,value_4,value_4,0.8769405521356786
sample_005,value_5,value_5,value_5,0.5509225239664021
sample_006,value_6,value_6,value_6,0.45179645139825
sample_007,value_7,value_7,value_7,0.04299084878424564
sample_008,value_8,value_8,value_8,0.7946432276118283
sample_009,value_9,value_9,value_9,0.34040407669920214
sample_010,value_10,value_10,value_10,0.6081145617385704
sample_011,value_11,value_11,value_11,0.2684267924142484
sample_012,value_12,value_12,value_12,0.7098433035319103
sample_013,value_13,value_13,value_13,0.8896627850689846
sample_014,value_14,value_14,value_14,0.5768446740762206
sample_015,value_15,value_15,value_15,0.7462484002924509
sample_016,value_16,value_16,value_16,0.5323731703779528
sample_017,value_17,value_17,value_17,0.09093773495259982
sample_018,value_18,value_18,value_18,0.2672202102006085
sample_019,value_19,value_19,value_19,0.5951630699878694
