id,mu_16,mu_84
sample_000,value_0,0.8748411219595622
sample_001,value_1,0.48774950255458716
sample_002,value_2,0.8554223273940349
sample_003,value_3,0.03559296050350047
sample_004,value_4,0.9996756182656437
sample_005,value_5,0.6128016526360363
sample_006,value_6,0.9448698675012085
sample_007,value_7,0.7772021563151893
sample_008,value_8,0.9815334339358666
sample_009,value_9,0.9251332101873717
sample_010,value_10,0.27199504511583483
sample_011,value_11,0.9843527216725166
sample_012,value_12,0.46732182222166885
sample_013,value_13,0.5960351244563459
sample_014,value_14,0.5577791909807339
sample_015,value_15,0.3554399581549077
sample_016,value_16,0.760744230357322
sample_017,value_17,0.7846327175325662
sample_018,value_18,0.683430162848269
sample_019,value_19,0.20817053932921614
