id,response_time,internalization,externalization,attention,p_factor
sample_000,value_0,value_0,value_0,value_0,0.9104284581895539
sample_001,value_1,value_1,value_1,value_1,0.10262041026181479
sample_002,value_2,value_2,value_2,value_2,0.6220030018678894
sample_003,value_3,value_3,value_3,value_3,0.8793532082690856
sample_004,value_4,value_4,value_4,value_4,0.06568663463153246
sample_005,value_5,value_5,value_5,value_5,0.5395802020064304
sample_006,value_6,value_6,value_6,value_6,0.25067072463650275
sample_007,value_7,value_7,value_7,value_7,0.4389727623326767
sample_008,value_8,value_8,value_8,value_8,0.7203368573696348
sample_009,value_9,value_9,value_9,value_9,0.6176802070284628
sample_010,value_10,value_10,value_10,value_10,0.45300387839738665
sample_011,value_11,value_11,value_11,value_11,0.7014667553149603
sample_012,value_12,value_12,value_12,value_12,0.8139601419769198
sample_013,value_13,value_13,value_13,value_13,0.8263513976225594
sample_014,value_14,value_14,value_14,value_14,0.22926403268112538
sample_015,value_15,value_15,value_15,value_15,0.7018411738209447
sample_016,value_16,value_16,value_16,value_16,0.7956507514714755
sample_017,value_17,value_17,value_17,value_17,0.756644177187252
sample_018,value_18,value_18,value_18,value_18,0.4295040233538684
sample_019,value_19,value_19,value_19,value_19,0.4748954722837402
