id,mmlu_answer,mmlu_var_continuation,sciq_label
sample_000,value_0,value_0,0.16607085360118956
sample_001,value_1,value_1,0.11950728589511883
sample_002,value_2,value_2,0.8844634366114837
sample_003,value_3,value_3,0.304632789707705
sample_004,value_4,value_4,0.5765055716770494
sample_005,value_5,value_5,0.8528404423270811
sample_006,value_6,value_6,0.984567065809792
sample_007,value_7,value_7,0.42960918057066255
sample_008,value_8,value_8,0.9526230668303766
sample_009,value_9,value_9,0.42032111534309
sample_010,value_10,value_10,0.07739445498386865
sample_011,value_11,value_11,0.3040213273878145
sample_012,value_12,value_12,0.2250047781381712
sample_013,value_13,value_13,0.1108846090266764
sample_014,value_14,value_14,0.06165589940483929
sample_015,value_15,value_15,0.32778094380014233
sample_016,value_16,value_16,0.8585794683891032
sample_017,value_17,value_17,0.8157280896415542
sample_018,value_18,value_18,0.8239732499104356
sample_019,value_19,value_19,0.6136559815977739
