id,ux,uy,ps,nu_t,cd,cl
sample_000,value_0,value_0,value_0,value_0,value_0,0.785939350090567
sample_001,value_1,value_1,value_1,value_1,value_1,0.3332703411808212
sample_002,value_2,value_2,value_2,value_2,value_2,0.40390775122683553
sample_003,value_3,value_3,value_3,value_3,value_3,0.3448493484215299
sample_004,value_4,value_4,value_4,value_4,value_4,0.4288492811594301
sample_005,value_5,value_5,value_5,value_5,value_5,0.45743504249035627
sample_006,value_6,value_6,value_6,value_6,value_6,0.8217624917655157
sample_007,value_7,value_7,value_7,value_7,value_7,0.19702812875839615
sample_008,value_8,value_8,value_8,value_8,value_8,0.12816606769255035
sample_009,value_9,value_9,value_9,value_9,value_9,0.22985715004463858
sample_010,value_10,value_10,value_10,value_10,value_10,0.007137774386135609
sample_011,value_11,value_11,value_11,value_11,value_11,0.6443017262527017
sample_012,value_12,value_12,value_12,value_12,value_12,0.18212054090478136
sample_013,value_13,value_13,value_13,value_13,value_13,0.8299848294690857
sample_014,value_14,value_14,value_14,value_14,value_14,0.8334670935039458
sample_015,value_15,value_15,value_15,value_15,value_15,0.8215455456290442
sample_016,value_16,value_16,value_16,value_16,value_16,0.2660829698273648
sample_017,value_17,value_17,value_17,value_17,value_17,0.007352990309481444
sample_018,value_18,value_18,value_18,value_18,value_18,0.43063890951900663
sample_019,value_19,value_19,value_19,value_19,value_19,0.2897945160163419
