id,mu16,mu84
sample_000,value_0,0.2474337365984951
sample_001,value_1,0.4070835515797697
sample_002,value_2,0.31404840672481127
sample_003,value_3,0.9999281550150536
sample_004,value_4,0.12657631512043332
sample_005,value_5,0.8169094589500581
sample_006,value_6,0.5555470443219251
sample_007,value_7,0.0035743648111042914
sample_008,value_8,0.9542809537050808
sample_009,value_9,0.1208898678780499
sample_010,value_10,0.17617111266659446
sample_011,value_11,0.9008477491550837
sample_012,value_12,0.6856420174785869
sample_013,value_13,0.251621816588126
sample_014,value_14,0.6345536278195169
sample_015,value_15,0.0695154517701223
sample_016,value_16,0.3208677647861523
sample_017,value_17,0.08240838869664957
sample_018,value_18,0.6937114705874574
sample_019,value_19,0.585407498655983
