id,attacked_image
sample_000,generated_text_0
sample_001,generated_text_1
sample_002,generated_text_2
sample_003,generated_text_3
sample_004,generated_text_4
sample_005,generated_text_5
sample_006,generated_text_6
sample_007,generated_text_7
sample_008,generated_text_8
sample_009,generated_text_9
sample_010,generated_text_10
sample_011,generated_text_11
sample_012,generated_text_12
sample_013,generated_text_13
sample_014,generated_text_14
sample_015,generated_text_15
sample_016,generated_text_16
sample_017,generated_text_17
sample_018,generated_text_18
sample_019,generated_text_19
