id,pred,skin_tone,gender,age
sample_000,value_0,value_0,value_0,0
sample_001,value_1,value_1,value_1,1
sample_002,value_2,value_2,value_2,1
sample_003,value_3,value_3,value_3,1
sample_004,value_4,value_4,value_4,1
sample_005,value_5,value_5,value_5,0
sample_006,value_6,value_6,value_6,0
sample_007,value_7,value_7,value_7,0
sample_008,value_8,value_8,value_8,1
sample_009,value_9,value_9,value_9,1
sample_010,value_10,value_10,value_10,1
sample_011,value_11,value_11,value_11,1
sample_012,value_12,value_12,value_12,0
sample_013,value_13,value_13,value_13,1
sample_014,value_14,value_14,value_14,1
sample_015,value_15,value_15,value_15,0
sample_016,value_16,value_16,value_16,0
sample_017,value_17,value_17,value_17,0
sample_018,value_18,value_18,value_18,0
sample_019,value_19,value_19,value_19,0
